Content ID,Content Type,Category,Reaction Type,Score,Sentiment,Datetime
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,0,negative,2020-11-07 09:43:50
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,0,negative,2021-01-06 19:13:01
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,0,negative,2021-04-09 02:46:20
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,disgust,0,negative,2021-03-28 21:15:26
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,disgust,0,negative,2020-08-04 05:40:33
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,disgust,0,negative,2021-01-14 07:21:32
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,disgust,0,negative,2021-01-13 23:35:56
3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,disgust,0,negative,2021-02-11 20:10:20
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,disgust,0,negative,2021-05-27 01:44:22
b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,disgust,0,negative,2021-02-13 04:14:45
0be59876-d70c-486c-8e0b-a06bef7a2cd6,GIF,tennis,disgust,0,negative,2020-09-11 16:22:49
0be59876-d70c-486c-8e0b-a06bef7a2cd6,GIF,tennis,disgust,0,negative,2020-10-13 16:31:34
0be59876-d70c-486c-8e0b-a06bef7a2cd6,GIF,tennis,disgust,0,negative,2020-07-23 19:31:31
81abd65a-3b76-4574-a0a7-db6bf7184ae2,video,food,disgust,0,negative,2020-12-08 13:12:56
81abd65a-3b76-4574-a0a7-db6bf7184ae2,video,food,disgust,0,negative,2021-01-05 13:15:46
81abd65a-3b76-4574-a0a7-db6bf7184ae2,video,food,disgust,0,negative,2020-11-08 02:43:54
81abd65a-3b76-4574-a0a7-db6bf7184ae2,video,food,disgust,0,negative,2021-04-19 01:45:56
81abd65a-3b76-4574-a0a7-db6bf7184ae2,video,food,disgust,0,negative,2020-10-18 12:49:22
f332d362-dc48-46c2-a64b-641157c0987e,GIF,soccer,disgust,0,negative,2021-02-15 20:35:25
a2e93b29-9259-4092-a4d7-62d5e823bb74,video,public speaking,disgust,0,negative,2021-06-09 09:41:37
a2e93b29-9259-4092-a4d7-62d5e823bb74,video,public speaking,disgust,0,negative,2020-12-26 06:13:28
a2e93b29-9259-4092-a4d7-62d5e823bb74,video,public speaking,disgust,0,negative,2021-06-15 17:31:50
9b3a6d30-48e8-476c-82be-9031524bd04d,video,food,disgust,0,negative,2020-11-21 03:14:44
9b3a6d30-48e8-476c-82be-9031524bd04d,video,food,disgust,0,negative,2021-01-01 11:23:50
850fe90d-47d6-4eb7-b9c8-810afcb99ce9,video,tennis,disgust,0,negative,2021-04-10 09:41:43
850fe90d-47d6-4eb7-b9c8-810afcb99ce9,video,tennis,disgust,0,negative,2020-12-14 12:53:01
850fe90d-47d6-4eb7-b9c8-810afcb99ce9,video,tennis,disgust,0,negative,2020-10-06 10:20:38
850fe90d-47d6-4eb7-b9c8-810afcb99ce9,video,tennis,disgust,0,negative,2020-08-27 15:08:16
f98dde71-ce1d-4f6c-bb05-ae05779d2207,GIF,soccer,disgust,0,negative,2020-12-12 23:02:32
